date	description	amount	type	pending
2012-04-23	BR-LEKSAKER /12-04-21	-149.9		
2012-04-23	CAFFÉ NERO  /12-04-21	-190		
2012-04-23	POLARN O PYR/12-04-21	-279		
2012-04-23	HOTELLET    /12-04-20	-340		
2012-04-23	REST ABERDEE/12-04-20	-80		
2012-04-19	CAFE SENSO  /12-04-17	-95		
2012-04-18	9847044956	2000.38		
2012-04-17	SUSHI HUSET /12-04-16	-75		
2012-04-16	ICA SUPERMAR/12-04-15	-14.9		
2012-04-16	ICA DALASTAN/12-04-13	-224.88		
2012-04-16	MELLQVIST CA/12-04-14	-180		
2012-04-16	ODENPLANS SN/12-04-13	-235		
2012-04-16	BIANCHI CAFE/12-04-13	-52		
2012-04-16	FORDONSSKATT TRANSPORTST	-1936		
2012-04-16	SV. KONSUMENTFÖRS. / SAL	-686		
2012-04-16	MARKUS KROON	2600		
2012-04-13	52110140771	-100		
2012-04-11	ICA DALASTAN/12-04-09	-173.83		
2012-04-11	BOUTIQUE PRI/12-04-07	-279.37		
2012-04-11	ICA DALASTAN/12-04-08	-181.61		
2012-04-11	ICA SUPERMAR/12-04-09	-148.1		
2012-04-10	VALTOURNENCH/12-04-06	-896.85		
2012-04-10	GENEVE 15 AE/12-04-07	-86.17		
2012-04-10	VALTOURNENCH/12-04-06	-448.42		
2012-04-02	COOP KONSUM /12-03-31	-161.5		
2012-04-02	ÅHLENS      /12-03-31	-59		
2012-04-02	MARKUS KROON	2000		
2012-03-30	SIGGECYKEL  /12-03-29	-160		
2012-03-30	TAXI STOCKHO/12-03-28	-151		
2012-03-30	CAFE SENSO  /12-03-28	-110		
2012-03-30	TAXI MALMO 3/12-03-29	-270		
2012-03-30	SIGGECYKEL  /12-03-29	-597		
2012-03-29	STALHASTEN S/12-03-28	-6083		
2012-03-29	COM HEM AB	-488		
2012-03-28	PRESSBYRAN 4/12-03-27	-115		
2012-03-28	EUROFLORIST /12-03-27	-314		
2012-03-28	WIGGO       /12-03-27	-80		
2012-03-27	ARLANDA T4 S/12-03-23	-128		
2012-03-27	ICA KVANTUM /12-03-25	-51.9		
2012-03-27	TEGNERS MATS/12-03-23	-60		
2012-03-27	TEGNERS MATS/12-03-23	-224		
2012-03-27	DEBASER MALM/12-03-25	-393		
2012-03-27	KAP FÖRSÄKR	-1750		
2012-03-27	52112520695	-1000		
2012-03-27	FONDER	-1700		
2012-03-27	FONDER	-800		
2012-03-26	GEMENSAMT	-10000		
2012-03-26	MAX MALMO ST/12-03-25	-79		
2012-03-26	7-ELEVEN 191/12-03-23	-21		
2012-03-26	7-ELEVEN 211/12-03-23	-200		
2012-03-26	SSP AB ARLAN/12-03-23	-31		
2012-03-26	FLYGBUSSARNA/12-03-23	-109		
2012-03-26	FAC FLYGBUSS/12-03-23	-99		
2012-03-26	TEXAS BURGER/12-03-23	-120		
2012-03-26	MINITAXI LUN/12-03-25	-249		
2012-03-26	AUT16:10	-700		
2012-03-23	T-JARLEN    /12-03-22	-27.66		
2012-03-23	REST ABERDEE/12-03-22	-85		
2012-03-23	LÖN	26368		
2012-03-22	PRESSBYRAN 4/12-03-21	-115		
2012-03-22	WIGGO       /12-03-21	-80		
2012-03-21	SQUEEZED UP /12-03-20	-80		
2012-03-21	BROMMA GARDE/12-03-20	-89		
2012-03-21	BLOMMOR HÅKA	-50		
2012-03-19	ICA DALASTAN/12-03-17	-133.19		
2012-03-19	MQ STOCKHOLM/12-03-17	-1596		
2012-03-19	COMHEM	488		
2012-03-19	CAFE STUREPL/12-03-16	-142.19		
2012-03-19	SL MALARHOJD/12-03-16	-36		
2012-03-19	NORWEGIAN A /12-03-15	-687.27		
2012-03-19	STATOIL SKAR/12-03-16	-387.81		
2012-03-19	52113105306	-500		
2012-03-16	NYBERGS BAR&/12-03-15	-105		
2012-03-16	STORY HOTEL /12-03-14	-105		
2012-03-15	CAFE STUREPL/12-03-13	-71.09		
2012-03-14	REST ABERDEE/12-03-12	-80		
2012-03-13	MILAN LINATE/12-03-11	-272.42		
2012-03-13	MILANO      /12-03-11	-535.77		
2012-03-13	FAC FLYGBUSS/12-03-11	-99		
2012-03-12	SEGRATE     /12-03-11	-104.19		
2012-03-12	ALAGNA VALSE/12-03-11	-108.71		
2012-03-12	ALAGNA VALSE/12-03-10	-566.24		
2012-03-12	ALAGNA VALSE/12-03-10	-113.25		
2012-03-12	ALAGNA VALSE/12-03-10	-362.39		
2012-03-12	ALAGNA VALSE/12-03-08	-534.53		
2012-03-12	ALAGNA VALSE/12-03-08	-996.58		
2012-03-09	SSP AB ARLAN/12-03-07	-138		
2012-03-08	APOTEKET ELE/12-03-07	-157		
2012-03-08	WILLY OHLSSO/12-03-07	-100		
2012-03-07	WIGGO       /12-03-06	-160		
2012-03-06	HÅR 3000 AB /12-03-05	-902		
2012-03-06	SUSHI HUSET /12-03-05	-75		
2012-03-06	SVANSTROMS 0/12-03-05	-59		
2012-03-05	IKEA-KUNGENS/12-03-04	-587		
2012-03-05	CARLS BAKFIC/12-02-29	-169		
2012-03-05	SJ KUNDBOKNI/12-03-04	-493		
2012-03-05	INS15:26	1790		
2012-03-05	CAFE STUREPL/12-03-02	-71.09		
2012-03-02	ROBERTS COFF/12-03-01	-55		
2012-03-02	COOP FORUM B/12-02-29	-11.95		
2012-03-01	CIAO CIAO QU/12-02-29	-101		
2012-03-01	STORY HOTEL /12-02-28	-105		
2012-03-01	SEDLAR	3500		
2012-02-29	CAFE STUREPL/12-02-27	-79		
2012-02-29	CENTRALA STUDIESTÖDSNÄMN	-2213		
2012-02-29	ENTERCARD SVERIGE AB	-12184.5		
2012-02-29	HI3G ACCESS AB	-89		
2012-02-28	URFACKHANDLA/12-02-27	-150		
2012-02-28	RADIOTJÄNST I KIRUNA AB	-519		
2012-02-28	KROKOMS GOLFKLUBB SERVIC	-595		
2012-02-28	COM HEM AB	-782		
2012-02-27	ESPRESSO HOU/12-02-26	-63		
2012-02-27	ICA DALASTAN/12-02-25	-117.69		
2012-02-27	ICA SUPERMAR/12-02-26	-435.91		
2012-02-27	CAFE MONTMAR/12-02-26	-158		
2012-02-27	BOKIA       /12-02-26	-228		
2012-02-27	KAP FÖRSÄKR	-1750		
2012-02-27	52112520695	-1000		
2012-02-27	FONDER	-1700		
2012-02-27	FONDER	-800		
2012-02-27	MKRUTLÄFEB12	7621.5		
2012-02-27	MKRTRAKFEB12	2258		
2012-02-27	ICA DALASTAN/12-02-24	-241.96		
2012-02-27	NORRA BRUNN /12-02-24	-180		
2012-02-27	GRONSAKEN AU/12-02-24	-110		
2012-02-27	STINAS BAGER/12-02-25	-70		
2012-02-27	HAGA RESTAUR/12-02-24	-710		
2012-02-27	BEBE        /12-02-23	-300		
2012-02-27	MARKUS KROON	1825		
2012-02-27	MARKUS KROON	1390		
2012-02-27	GEMENSAMT	-10000		
2012-02-24	LÖN	26368		
